frame,elapsed_seconds,timestamp,tag_id,x_pos,y_pos,speed
2,0.4,2013-11-03 18:35:00.400,2,31.039625323612,30.0532728667547,3.27664264612729
2,0.4,2013-11-03 18:35:00.400,5,35.193640903243,24.8704501255537,3.86897925482211
2,0.4,2013-11-03 18:35:00.400,7,41.0025242113194,35.2306915628651,3.46843480026322
2,0.4,2013-11-03 18:35:00.400,8,30.3249126878254,39.417747249423,2.32926832705182
2,0.4,2013-11-03 18:35:00.400,9,36.0906356573445,7.23665025361085,1.92283676325489
2,0.4,2013-11-03 18:35:00.400,10,48.0405458814105,3.39330646594664,4.60287659973774
2,0.4,2013-11-03 18:35:00.400,13,30.3209572008145,24.2029992243611,2.12826757256415
2,0.4,2013-11-03 18:35:00.400,14,34.0064053301925,15.786198548574,3.57702377038877
2,0.4,2013-11-03 18:35:00.400,15,61.7277200425347,13.5637081964227,5.26269637596502
3,0.6,2013-11-03 18:35:00.600,1,49.1418156761448,18.5647525297195,2.93284272045815
3,0.6,2013-11-03 18:35:00.600,2,31.6803349922512,30.245157027433,3.36651255833027
3,0.6,2013-11-03 18:35:00.600,5,35.8660172836904,24.4809731538164,3.87042476915374
3,0.6,2013-11-03 18:35:00.600,7,41.6560676234437,35.4041825060202,3.31173516406865
3,0.6,2013-11-03 18:35:00.600,8,30.6569009936532,39.1419893121486,2.00932805522839
3,0.6,2013-11-03 18:35:00.600,9,36.4578664080568,7.22912570988646,1.79475208841692
3,0.6,2013-11-03 18:35:00.600,10,48.9176124786969,3.59346521958314,4.40251756270296
3,0.6,2013-11-03 18:35:00.600,13,30.706263814869,24.0756598356786,1.97474568034104
3,0.6,2013-11-03 18:35:00.600,14,34.7147665491081,15.7040341835192,3.56666538751901
3,0.6,2013-11-03 18:35:00.600,15,62.0289613592039,12.567146526124,5.14230326366285
4,0.8,2013-11-03 18:35:00.800,1,49.3658104869082,18.0691479437893,2.54401089869392
4,0.8,2013-11-03 18:35:00.800,2,32.3300161229502,30.3770460275331,3.24214704502863
4,0.8,2013-11-03 18:35:00.800,5,36.5264318554582,24.1116607319597,3.68806188121749
4,0.8,2013-11-03 18:35:00.800,7,42.2642111145338,35.6270200592244,3.20123072117342
4,0.8,2013-11-03 18:35:00.800,8,30.9440677058428,38.9191869990606,1.6856799703306
4,0.8,2013-11-03 18:35:00.800,9,36.8080508176491,7.28651924626748,1.77218388816037
4,0.8,2013-11-03 18:35:00.800,10,49.7522577676898,3.75970511012775,4.13573007782138
4,0.8,2013-11-03 18:35:00.800,13,31.0903409514999,24.0118702377081,1.94524000842111
4,0.8,2013-11-03 18:35:00.800,14,35.4193789685806,15.5715493243559,3.6035123880197
4,0.8,2013-11-03 18:35:00.800,15,62.2654430651706,11.5979157594022,4.83440055461087
5,1.0,2013-11-03 18:35:01.000,1,49.5581134437392,17.6455089399221,2.16553563370543
5,1.0,2013-11-03 18:35:01.000,2,32.9436955109651,30.4282765992246,2.93400946087711
5,1.0,2013-11-03 18:35:01.000,5,37.1532804392712,23.7940813891498,3.3638982524045
5,1.0,2013-11-03 18:35:01.000,7,42.8304874007563,35.920475667943,3.1992334136979
5,1.0,2013-11-03 18:35:01.000,8,31.1860683245037,38.7214777617769,1.49192736299002
5,1.0,2013-11-03 18:35:01.000,9,37.1486192688986,7.3814837210256,1.76313484271211
5,1.0,2013-11-03 18:35:01.000,10,50.5367925163678,3.89089259404609,3.85125347163477
5,1.0,2013-11-03 18:35:01.000,13,31.4818298277153,23.9667016727783,2.00211486636371
5,1.0,2013-11-03 18:35:01.000,14,36.1215304504771,15.4060937728588,3.59111194439014
5,1.0,2013-11-03 18:35:01.000,15,62.4694724158485,10.712384474348,4.27963507927577
6,1.2,2013-11-03 18:35:01.200,1,49.7656454962305,17.2987131988308,1.95500532006428
6,1.2,2013-11-03 18:35:01.200,2,33.4824450939626,30.4314144254712,2.49365114047427
6,1.2,2013-11-03 18:35:01.200,5,37.7346706547582,23.546601251818,3.00199545981851
6,1.2,2013-11-03 18:35:01.200,7,43.3706998563738,36.2722220896376,3.23992167688867
6,1.2,2013-11-03 18:35:01.200,8,31.4010408219884,38.5193955745764,1.49231145440153
6,1.2,2013-11-03 18:35:01.200,9,37.4824032880488,7.48273514476589,1.72347054310933
6,1.2,2013-11-03 18:35:01.200,10,51.2641719221214,3.99613269072199,3.52957724057393
