指標名,系列種別,年月,指数
生鮮食品を除く総合,原数値,1970-01-01,30.5
生鮮食品を除く総合,原数値,1970-02-01,30.6
生鮮食品を除く総合,原数値,1970-03-01,30.6
生鮮食品を除く総合,原数値,1970-04-01,30.9
生鮮食品を除く総合,原数値,1970-05-01,31.0
生鮮食品を除く総合,原数値,1970-06-01,31.1
生鮮食品を除く総合,原数値,1970-07-01,31.2
生鮮食品を除く総合,原数値,1970-08-01,31.2
生鮮食品を除く総合,原数値,1970-09-01,31.5
生鮮食品を除く総合,原数値,1970-10-01,31.9
生鮮食品を除く総合,原数値,1970-11-01,32.1
生鮮食品を除く総合,原数値,1970-12-01,32.3
生鮮食品を除く総合,原数値,1971-01-01,32.4
生鮮食品を除く総合,原数値,1971-02-01,32.4
生鮮食品を除く総合,原数値,1971-03-01,32.6
生鮮食品を除く総合,原数値,1971-04-01,33.0
生鮮食品を除く総合,原数値,1971-05-01,33.2
生鮮食品を除く総合,原数値,1971-06-01,33.5
生鮮食品を除く総合,原数値,1971-07-01,33.5
生鮮食品を除く総合,原数値,1971-08-01,33.5
生鮮食品を除く総合,原数値,1971-09-01,33.8
生鮮食品を除く総合,原数値,1971-10-01,33.9
生鮮食品を除く総合,原数値,1971-11-01,34.0
生鮮食品を除く総合,原数値,1971-12-01,34.1
生鮮食品を除く総合,原数値,1972-01-01,34.1
生鮮食品を除く総合,原数値,1972-02-01,34.3
生鮮食品を除く総合,原数値,1972-03-01,34.4
生鮮食品を除く総合,原数値,1972-04-01,34.7
生鮮食品を除く総合,原数値,1972-05-01,34.9
生鮮食品を除く総合,原数値,1972-06-01,35.1
生鮮食品を除く総合,原数値,1972-07-01,35.2
生鮮食品を除く総合,原数値,1972-08-01,35.2
生鮮食品を除く総合,原数値,1972-09-01,35.4
生鮮食品を除く総合,原数値,1972-10-01,35.8
生鮮食品を除く総合,原数値,1972-11-01,35.9
生鮮食品を除く総合,原数値,1972-12-01,36.2
生鮮食品を除く総合,原数値,1973-01-01,36.3
生鮮食品を除く総合,原数値,1973-02-01,36.8
生鮮食品を除く総合,原数値,1973-03-01,37.4
生鮮食品を除く総合,原数値,1973-04-01,37.9
生鮮食品を除く総合,原数値,1973-05-01,38.5
生鮮食品を除く総合,原数値,1973-06-01,38.9
生鮮食品を除く総合,原数値,1973-07-01,39.2
生鮮食品を除く総合,原数値,1973-08-01,39.3
生鮮食品を除く総合,原数値,1973-09-01,40.1
生鮮食品を除く総合,原数値,1973-10-01,40.6
生鮮食品を除く総合,原数値,1973-11-01,41.3
生鮮食品を除く総合,原数値,1973-12-01,42.5
生鮮食品を除く総合,原数値,1974-01-01,43.9
生鮮食品を除く総合,原数値,1974-02-01,45.1
生鮮食品を除く総合,原数値,1974-03-01,45.5
生鮮食品を除く総合,原数値,1974-04-01,46.3
生鮮食品を除く総合,原数値,1974-05-01,47.0
生鮮食品を除く総合,原数値,1974-06-01,47.6
生鮮食品を除く総合,原数値,1974-07-01,48.2
生鮮食品を除く総合,原数値,1974-08-01,48.4
生鮮食品を除く総合,原数値,1974-09-01,49.0
生鮮食品を除く総合,原数値,1974-10-01,50.6
生鮮食品を除く総合,原数値,1974-11-01,51.2
生鮮食品を除く総合,原数値,1974-12-01,51.5
生鮮食品を除く総合,原数値,1975-01-01,51.8
生鮮食品を除く総合,原数値,1975-02-01,51.9
生鮮食品を除く総合,原数値,1975-03-01,52.1
生鮮食品を除く総合,原数値,1975-04-01,53.1
生鮮食品を除く総合,原数値,1975-05-01,53.3
生鮮食品を除く総合,原数値,1975-06-01,53.6
生鮮食品を除く総合,原数値,1975-07-01,53.9
生鮮食品を除く総合,原数値,1975-08-01,53.7
生鮮食品を除く総合,原数値,1975-09-01,54.6
生鮮食品を除く総合,原数値,1975-10-01,54.9
生鮮食品を除く総合,原数値,1975-11-01,55.1
生鮮食品を除く総合,原数値,1975-12-01,55.3
生鮮食品を除く総合,原数値,1976-01-01,56.0
生鮮食品を除く総合,原数値,1976-02-01,56.3
生鮮食品を除く総合,原数値,1976-03-01,56.5
生鮮食品を除く総合,原数値,1976-04-01,57.6
生鮮食品を除く総合,原数値,1976-05-01,58.0
生鮮食品を除く総合,原数値,1976-06-01,58.3
生鮮食品を除く総合,原数値,1976-07-01,58.7
生鮮食品を除く総合,原数値,1976-08-01,58.6
生鮮食品を除く総合,原数値,1976-09-01,59.6
生鮮食品を除く総合,原数値,1976-10-01,59.9
生鮮食品を除く総合,原数値,1976-11-01,60.3
生鮮食品を除く総合,原数値,1976-12-01,61.2
生鮮食品を除く総合,原数値,1977-01-01,61.2
生鮮食品を除く総合,原数値,1977-02-01,61.3
生鮮食品を除く総合,原数値,1977-03-01,61.6
生鮮食品を除く総合,原数値,1977-04-01,62.5
生鮮食品を除く総合,原数値,1977-05-01,63.1
生鮮食品を除く総合,原数値,1977-06-01,63.4
生鮮食品を除く総合,原数値,1977-07-01,63.5
生鮮食品を除く総合,原数値,1977-08-01,63.3
生鮮食品を除く総合,原数値,1977-09-01,64.1
生鮮食品を除く総合,原数値,1977-10-01,64.4
生鮮食品を除く総合,原数値,1977-11-01,64.5
生鮮食品を除く総合,原数値,1977-12-01,64.7
生鮮食品を除く総合,原数値,1978-01-01,64.6
生鮮食品を除く総合,原数値,1978-02-01,64.7
生鮮食品を除く総合,原数値,1978-03-01,65.0
生鮮食品を除く総合,原数値,1978-04-01,65.6
生鮮食品を除く総合,原数値,1978-05-01,66.1
生鮮食品を除く総合,原数値,1978-06-01,66.1
生鮮食品を除く総合,原数値,1978-07-01,66.3
生鮮食品を除く総合,原数値,1978-08-01,66.0
生鮮食品を除く総合,原数値,1978-09-01,66.5
生鮮食品を除く総合,原数値,1978-10-01,66.6
生鮮食品を除く総合,原数値,1978-11-01,66.7
生鮮食品を除く総合,原数値,1978-12-01,66.8
生鮮食品を除く総合,原数値,1979-01-01,66.7
生鮮食品を除く総合,原数値,1979-02-01,66.6
生鮮食品を除く総合,原数値,1979-03-01,66.9
生鮮食品を除く総合,原数値,1979-04-01,67.6
生鮮食品を除く総合,原数値,1979-05-01,68.1
生鮮食品を除く総合,原数値,1979-06-01,68.5
生鮮食品を除く総合,原数値,1979-07-01,68.7
生鮮食品を除く総合,原数値,1979-08-01,68.4
生鮮食品を除く総合,原数値,1979-09-01,69.2
生鮮食品を除く総合,原数値,1979-10-01,69.5
生鮮食品を除く総合,原数値,1979-11-01,69.7
生鮮食品を除く総合,原数値,1979-12-01,70.1
生鮮食品を除く総合,原数値,1980-01-01,70.3
生鮮食品を除く総合,原数値,1980-02-01,70.6
生鮮食品を除く総合,原数値,1980-03-01,71.1
生鮮食品を除く総合,原数値,1980-04-01,72.8
生鮮食品を除く総合,原数値,1980-05-01,73.8
生鮮食品を除く総合,原数値,1980-06-01,74.2
生鮮食品を除く総合,原数値,1980-07-01,74.4
生鮮食品を除く総合,原数値,1980-08-01,74.0
生鮮食品を除く総合,原数値,1980-09-01,74.7
生鮮食品を除く総合,原数値,1980-10-01,75.2
生鮮食品を除く総合,原数値,1980-11-01,75.4
生鮮食品を除く総合,原数値,1980-12-01,75.5
生鮮食品を除く総合,原数値,1981-01-01,75.5
生鮮食品を除く総合,原数値,1981-02-01,75.4
生鮮食品を除く総合,原数値,1981-03-01,75.6
生鮮食品を除く総合,原数値,1981-04-01,76.1
生鮮食品を除く総合,原数値,1981-05-01,77.1
生鮮食品を除く総合,原数値,1981-06-01,77.3
生鮮食品を除く総合,原数値,1981-07-01,77.2
生鮮食品を除く総合,原数値,1981-08-01,77.0
生鮮食品を除く総合,原数値,1981-09-01,77.9
生鮮食品を除く総合,原数値,1981-10-01,78.2
生鮮食品を除く総合,原数値,1981-11-01,78.4
生鮮食品を除く総合,原数値,1981-12-01,78.5
生鮮食品を除く総合,原数値,1982-01-01,78.3
生鮮食品を除く総合,原数値,1982-02-01,78.1
生鮮食品を除く総合,原数値,1982-03-01,78.2
生鮮食品を除く総合,原数値,1982-04-01,78.7
生鮮食品を除く総合,原数値,1982-05-01,79.4
生鮮食品を除く総合,原数値,1982-06-01,79.6
生鮮食品を除く総合,原数値,1982-07-01,79.5
生鮮食品を除く総合,原数値,1982-08-01,79.3
生鮮食品を除く総合,原数値,1982-09-01,80.1
生鮮食品を除く総合,原数値,1982-10-01,80.4
生鮮食品を除く総合,原数値,1982-11-01,80.5
生鮮食品を除く総合,原数値,1982-12-01,80.5
生鮮食品を除く総合,原数値,1983-01-01,80.2
生鮮食品を除く総合,原数値,1983-02-01,79.8
生鮮食品を除く総合,原数値,1983-03-01,80.0
生鮮食品を除く総合,原数値,1983-04-01,80.4
生鮮食品を除く総合,原数値,1983-05-01,80.9
生鮮食品を除く総合,原数値,1983-06-01,81.0
生鮮食品を除く総合,原数値,1983-07-01,80.9
生鮮食品を除く総合,原数値,1983-08-01,80.3
生鮮食品を除く総合,原数値,1983-09-01,81.3
生鮮食品を除く総合,原数値,1983-10-01,81.7
生鮮食品を除く総合,原数値,1983-11-01,81.9
生鮮食品を除く総合,原数値,1983-12-01,81.8
生鮮食品を除く総合,原数値,1984-01-01,81.5
生鮮食品を除く総合,原数値,1984-02-01,81.4
生鮮食品を除く総合,原数値,1984-03-01,81.6
生鮮食品を除く総合,原数値,1984-04-01,81.9
生鮮食品を除く総合,原数値,1984-05-01,82.8
生鮮食品を除く総合,原数値,1984-06-01,82.7
生鮮食品を除く総合,原数値,1984-07-01,82.6
生鮮食品を除く総合,原数値,1984-08-01,82.1
生鮮食品を除く総合,原数値,1984-09-01,83.1
生鮮食品を除く総合,原数値,1984-10-01,83.6
生鮮食品を除く総合,原数値,1984-11-01,83.7
生鮮食品を除く総合,原数値,1984-12-01,83.7
生鮮食品を除く総合,原数値,1985-01-01,83.6
生鮮食品を除く総合,原数値,1985-02-01,83.3
生鮮食品を除く総合,原数値,1985-03-01,83.6
生鮮食品を除く総合,原数値,1985-04-01,84.1
生鮮食品を除く総合,原数値,1985-05-01,84.3
生鮮食品を除く総合,原数値,1985-06-01,84.4
生鮮食品を除く総合,原数値,1985-07-01,84.3
生鮮食品を除く総合,原数値,1985-08-01,84.1
生鮮食品を除く総合,原数値,1985-09-01,84.5
生鮮食品を除く総合,原数値,1985-10-01,84.7
生鮮食品を除く総合,原数値,1985-11-01,84.8
生鮮食品を除く総合,原数値,1985-12-01,84.9
生鮮食品を除く総合,原数値,1986-01-01,84.7
生鮮食品を除く総合,原数値,1986-02-01,84.7
生鮮食品を除く総合,原数値,1986-03-01,84.7
生鮮食品を除く総合,原数値,1986-04-01,85.1
生鮮食品を除く総合,原数値,1986-05-01,85.4
生鮮食品を除く総合,原数値,1986-06-01,85.1
生鮮食品を除く総合,原数値,1986-07-01,84.8
生鮮食品を除く総合,原数値,1986-08-01,84.6
生鮮食品を除く総合,原数値,1986-09-01,84.9
生鮮食品を除く総合,原数値,1986-10-01,85.1
生鮮食品を除く総合,原数値,1986-11-01,85.0
生鮮食品を除く総合,原数値,1986-12-01,85.0
生鮮食品を除く総合,原数値,1987-01-01,84.5
生鮮食品を除く総合,原数値,1987-02-01,84.6
生鮮食品を除く総合,原数値,1987-03-01,84.7
生鮮食品を除く総合,原数値,1987-04-01,85.2
生鮮食品を除く総合,原数値,1987-05-01,85.2
生鮮食品を除く総合,原数値,1987-06-01,85.3
生鮮食品を除く総合,原数値,1987-07-01,85.2
生鮮食品を除く総合,原数値,1987-08-01,85.1
生鮮食品を除く総合,原数値,1987-09-01,85.3
生鮮食品を除く総合,原数値,1987-10-01,85.5
生鮮食品を除く総合,原数値,1987-11-01,85.5
生鮮食品を除く総合,原数値,1987-12-01,85.5
生鮮食品を除く総合,原数値,1988-01-01,85.1
生鮮食品を除く総合,原数値,1988-02-01,85.0
生鮮食品を除く総合,原数値,1988-03-01,85.1
生鮮食品を除く総合,原数値,1988-04-01,85.4
生鮮食品を除く総合,原数値,1988-05-01,85.6
生鮮食品を除く総合,原数値,1988-06-01,85.6
生鮮食品を除く総合,原数値,1988-07-01,85.4
生鮮食品を除く総合,原数値,1988-08-01,85.3
生鮮食品を除く総合,原数値,1988-09-01,85.7
生鮮食品を除く総合,原数値,1988-10-01,85.9
生鮮食品を除く総合,原数値,1988-11-01,86.0
生鮮食品を除く総合,原数値,1988-12-01,86.1
生鮮食品を除く総合,原数値,1989-01-01,85.7
生鮮食品を除く総合,原数値,1989-02-01,85.7
生鮮食品を除く総合,原数値,1989-03-01,86.0
生鮮食品を除く総合,原数値,1989-04-01,87.5
生鮮食品を除く総合,原数値,1989-05-01,87.9
生鮮食品を除く総合,原数値,1989-06-01,88.0
生鮮食品を除く総合,原数値,1989-07-01,87.9
生鮮食品を除く総合,原数値,1989-08-01,87.8
生鮮食品を除く総合,原数値,1989-09-01,88.2
生鮮食品を除く総合,原数値,1989-10-01,88.4
生鮮食品を除く総合,原数値,1989-11-01,88.5
生鮮食品を除く総合,原数値,1989-12-01,88.6
生鮮食品を除く総合,原数値,1990-01-01,88.5
生鮮食品を除く総合,原数値,1990-02-01,88.4
生鮮食品を除く総合,原数値,1990-03-01,88.8
生鮮食品を除く総合,原数値,1990-04-01,89.4
生鮮食品を除く総合,原数値,1990-05-01,89.8
生鮮食品を除く総合,原数値,1990-06-01,89.8
生鮮食品を除く総合,原数値,1990-07-01,89.8
生鮮食品を除く総合,原数値,1990-08-01,89.8
生鮮食品を除く総合,原数値,1990-09-01,90.4
生鮮食品を除く総合,原数値,1990-10-01,91.0
生鮮食品を除く総合,原数値,1990-11-01,91.3
生鮮食品を除く総合,原数値,1990-12-01,91.5
生鮮食品を除く総合,原数値,1991-01-01,91.4
生鮮食品を除く総合,原数値,1991-02-01,91.2
生鮮食品を除く総合,原数値,1991-03-01,91.6
生鮮食品を除く総合,原数値,1991-04-01,92.1
生鮮食品を除く総合,原数値,1991-05-01,92.5
生鮮食品を除く総合,原数値,1991-06-01,92.6
生鮮食品を除く総合,原数値,1991-07-01,92.6
生鮮食品を除く総合,原数値,1991-08-01,92.5
生鮮食品を除く総合,原数値,1991-09-01,92.9
生鮮食品を除く総合,原数値,1991-10-01,93.2
生鮮食品を除く総合,原数値,1991-11-01,93.4
生鮮食品を除く総合,原数値,1991-12-01,93.6
生鮮食品を除く総合,原数値,1992-01-01,93.3
生鮮食品を除く総合,原数値,1992-02-01,93.3
生鮮食品を除く総合,原数値,1992-03-01,93.6
生鮮食品を除く総合,原数値,1992-04-01,94.5
生鮮食品を除く総合,原数値,1992-05-01,94.8
生鮮食品を除く総合,原数値,1992-06-01,94.9
生鮮食品を除く総合,原数値,1992-07-01,94.6
生鮮食品を除く総合,原数値,1992-08-01,94.5
生鮮食品を除く総合,原数値,1992-09-01,95.0
生鮮食品を除く総合,原数値,1992-10-01,95.2
生鮮食品を除く総合,原数値,1992-11-01,95.4
生鮮食品を除く総合,原数値,1992-12-01,95.4
生鮮食品を除く総合,原数値,1993-01-01,94.9
生鮮食品を除く総合,原数値,1993-02-01,94.9
生鮮食品を除く総合,原数値,1993-03-01,95.2
生鮮食品を除く総合,原数値,1993-04-01,95.8
生鮮食品を除く総合,原数値,1993-05-01,96.0
生鮮食品を除く総合,原数値,1993-06-01,96.1
生鮮食品を除く総合,原数値,1993-07-01,95.8
生鮮食品を除く総合,原数値,1993-08-01,95.7
生鮮食品を除く総合,原数値,1993-09-01,96.1
生鮮食品を除く総合,原数値,1993-10-01,96.3
生鮮食品を除く総合,原数値,1993-11-01,96.3
生鮮食品を除く総合,原数値,1993-12-01,96.2
生鮮食品を除く総合,原数値,1994-01-01,95.8
生鮮食品を除く総合,原数値,1994-02-01,95.7
生鮮食品を除く総合,原数値,1994-03-01,96.1
生鮮食品を除く総合,原数値,1994-04-01,96.7
生鮮食品を除く総合,原数値,1994-05-01,97.0
生鮮食品を除く総合,原数値,1994-06-01,96.9
生鮮食品を除く総合,原数値,1994-07-01,96.5
生鮮食品を除く総合,原数値,1994-08-01,96.4
生鮮食品を除く総合,原数値,1994-09-01,96.6
生鮮食品を除く総合,原数値,1994-10-01,96.7
生鮮食品を除く総合,原数値,1994-11-01,96.7
生鮮食品を除く総合,原数値,1994-12-01,96.6
生鮮食品を除く総合,原数値,1995-01-01,96.3
生鮮食品を除く総合,原数値,1995-02-01,96.1
生鮮食品を除く総合,原数値,1995-03-01,96.3
生鮮食品を除く総合,原数値,1995-04-01,96.6
生鮮食品を除く総合,原数値,1995-05-01,96.7
生鮮食品を除く総合,原数値,1995-06-01,96.6
生鮮食品を除く総合,原数値,1995-07-01,96.3
生鮮食品を除く総合,原数値,1995-08-01,96.2
生鮮食品を除く総合,原数値,1995-09-01,96.7
生鮮食品を除く総合,原数値,1995-10-01,96.8
生鮮食品を除く総合,原数値,1995-11-01,96.7
生鮮食品を除く総合,原数値,1995-12-01,96.7
生鮮食品を除く総合,原数値,1996-01-01,96.1
生鮮食品を除く総合,原数値,1996-02-01,96.1
生鮮食品を除く総合,原数値,1996-03-01,96.3
生鮮食品を除く総合,原数値,1996-04-01,96.7
生鮮食品を除く総合,原数値,1996-05-01,96.8
生鮮食品を除く総合,原数値,1996-06-01,96.8
生鮮食品を除く総合,原数値,1996-07-01,96.6
生鮮食品を除く総合,原数値,1996-08-01,96.4
生鮮食品を除く総合,原数値,1996-09-01,96.9
生鮮食品を除く総合,原数値,1996-10-01,97.0
生鮮食品を除く総合,原数値,1996-11-01,97.1
生鮮食品を除く総合,原数値,1996-12-01,97.0
生鮮食品を除く総合,原数値,1997-01-01,96.6
生鮮食品を除く総合,原数値,1997-02-01,96.5
生鮮食品を除く総合,原数値,1997-03-01,96.8
生鮮食品を除く総合,原数値,1997-04-01,98.6
生鮮食品を除く総合,原数値,1997-05-01,98.8
生鮮食品を除く総合,原数値,1997-06-01,98.7
生鮮食品を除く総合,原数値,1997-07-01,98.6
生鮮食品を除く総合,原数値,1997-08-01,98.5
生鮮食品を除く総合,原数値,1997-09-01,99.2
生鮮食品を除く総合,原数値,1997-10-01,99.3
生鮮食品を除く総合,原数値,1997-11-01,99.2
生鮮食品を除く総合,原数値,1997-12-01,99.1
生鮮食品を除く総合,原数値,1998-01-01,98.6
生鮮食品を除く総合,原数値,1998-02-01,98.3
生鮮食品を除く総合,原数値,1998-03-01,98.6
生鮮食品を除く総合,原数値,1998-04-01,98.8
生鮮食品を除く総合,原数値,1998-05-01,98.8
生鮮食品を除く総合,原数値,1998-06-01,98.7
生鮮食品を除く総合,原数値,1998-07-01,98.5
生鮮食品を除く総合,原数値,1998-08-01,98.4
生鮮食品を除く総合,原数値,1998-09-01,98.7
生鮮食品を除く総合,原数値,1998-10-01,98.9
生鮮食品を除く総合,原数値,1998-11-01,98.9
生鮮食品を除く総合,原数値,1998-12-01,98.8
生鮮食品を除く総合,原数値,1999-01-01,98.5
生鮮食品を除く総合,原数値,1999-02-01,98.2
生鮮食品を除く総合,原数値,1999-03-01,98.5
生鮮食品を除く総合,原数値,1999-04-01,98.7
生鮮食品を除く総合,原数値,1999-05-01,98.8
生鮮食品を除く総合,原数値,1999-06-01,98.7
生鮮食品を除く総合,原数値,1999-07-01,98.5
生鮮食品を除く総合,原数値,1999-08-01,98.4
生鮮食品を除く総合,原数値,1999-09-01,98.7
生鮮食品を除く総合,原数値,1999-10-01,98.8
生鮮食品を除く総合,原数値,1999-11-01,98.7
生鮮食品を除く総合,原数値,1999-12-01,98.7
生鮮食品を除く総合,原数値,2000-01-01,98.3
生鮮食品を除く総合,原数値,2000-02-01,98.1
生鮮食品を除く総合,原数値,2000-03-01,98.3
生鮮食品を除く総合,原数値,2000-04-01,98.5
生鮮食品を除く総合,原数値,2000-05-01,98.7
生鮮食品を除く総合,原数値,2000-06-01,98.5
生鮮食品を除く総合,原数値,2000-07-01,98.3
生鮮食品を除く総合,原数値,2000-08-01,98.4
生鮮食品を除く総合,原数値,2000-09-01,98.3
生鮮食品を除く総合,原数値,2000-10-01,98.1
生鮮食品を除く総合,原数値,2000-11-01,98.1
生鮮食品を除く総合,原数値,2000-12-01,98.1
生鮮食品を除く総合,原数値,2001-01-01,97.5
生鮮食品を除く総合,原数値,2001-02-01,97.3
生鮮食品を除く総合,原数値,2001-03-01,97.4
生鮮食品を除く総合,原数値,2001-04-01,97.7
生鮮食品を除く総合,原数値,2001-05-01,97.7
生鮮食品を除く総合,原数値,2001-06-01,97.6
生鮮食品を除く総合,原数値,2001-07-01,97.4
生鮮食品を除く総合,原数値,2001-08-01,97.5
生鮮食品を除く総合,原数値,2001-09-01,97.5
生鮮食品を除く総合,原数値,2001-10-01,97.4
生鮮食品を除く総合,原数値,2001-11-01,97.3
生鮮食品を除く総合,原数値,2001-12-01,97.2
生鮮食品を除く総合,原数値,2002-01-01,96.7
生鮮食品を除く総合,原数値,2002-02-01,96.5
生鮮食品を除く総合,原数値,2002-03-01,96.7
生鮮食品を除く総合,原数値,2002-04-01,96.8
生鮮食品を除く総合,原数値,2002-05-01,96.9
生鮮食品を除く総合,原数値,2002-06-01,96.8
生鮮食品を除く総合,原数値,2002-07-01,96.6
生鮮食品を除く総合,原数値,2002-08-01,96.6
生鮮食品を除く総合,原数値,2002-09-01,96.6
生鮮食品を除く総合,原数値,2002-10-01,96.5
生鮮食品を除く総合,原数値,2002-11-01,96.5
生鮮食品を除く総合,原数値,2002-12-01,96.5
生鮮食品を除く総合,原数値,2003-01-01,95.9
生鮮食品を除く総合,原数値,2003-02-01,95.8
生鮮食品を除く総合,原数値,2003-03-01,96.1
生鮮食品を除く総合,原数値,2003-04-01,96.4
生鮮食品を除く総合,原数値,2003-05-01,96.5
生鮮食品を除く総合,原数値,2003-06-01,96.4
生鮮食品を除く総合,原数値,2003-07-01,96.4
生鮮食品を除く総合,原数値,2003-08-01,96.5
生鮮食品を除く総合,原数値,2003-09-01,96.5
生鮮食品を除く総合,原数値,2003-10-01,96.6
生鮮食品を除く総合,原数値,2003-11-01,96.4
生鮮食品を除く総合,原数値,2003-12-01,96.5
生鮮食品を除く総合,原数値,2004-01-01,95.8
生鮮食品を除く総合,原数値,2004-02-01,95.8
生鮮食品を除く総合,原数値,2004-03-01,96.0
生鮮食品を除く総合,原数値,2004-04-01,96.2
生鮮食品を除く総合,原数値,2004-05-01,96.2
生鮮食品を除く総合,原数値,2004-06-01,96.3
生鮮食品を除く総合,原数値,2004-07-01,96.2
生鮮食品を除く総合,原数値,2004-08-01,96.3
生鮮食品を除く総合,原数値,2004-09-01,96.5
生鮮食品を除く総合,原数値,2004-10-01,96.5
生鮮食品を除く総合,原数値,2004-11-01,96.2
生鮮食品を除く総合,原数値,2004-12-01,96.3
生鮮食品を除く総合,原数値,2005-01-01,95.9
生鮮食品を除く総合,原数値,2005-02-01,95.6
生鮮食品を除く総合,原数値,2005-03-01,95.9
生鮮食品を除く総合,原数値,2005-04-01,96.2
生鮮食品を除く総合,原数値,2005-05-01,96.3
生鮮食品を除く総合,原数値,2005-06-01,96.1
生鮮食品を除く総合,原数値,2005-07-01,96.0
生鮮食品を除く総合,原数値,2005-08-01,96.1
生鮮食品を除く総合,原数値,2005-09-01,96.3
生鮮食品を除く総合,原数値,2005-10-01,96.4
生鮮食品を除く総合,原数値,2005-11-01,96.1
生鮮食品を除く総合,原数値,2005-12-01,96.1
生鮮食品を除く総合,原数値,2006-01-01,95.8
生鮮食品を除く総合,原数値,2006-02-01,95.6
生鮮食品を除く総合,原数値,2006-03-01,96.0
生鮮食品を除く総合,原数値,2006-04-01,96.1
生鮮食品を除く総合,原数値,2006-05-01,96.3
生鮮食品を除く総合,原数値,2006-06-01,96.3
生鮮食品を除く総合,原数値,2006-07-01,96.2
生鮮食品を除く総合,原数値,2006-08-01,96.4
生鮮食品を除く総合,原数値,2006-09-01,96.5
生鮮食品を除く総合,原数値,2006-10-01,96.5
生鮮食品を除く総合,原数値,2006-11-01,96.3
生鮮食品を除く総合,原数値,2006-12-01,96.2
生鮮食品を除く総合,原数値,2007-01-01,95.8
生鮮食品を除く総合,原数値,2007-02-01,95.5
生鮮食品を除く総合,原数値,2007-03-01,95.7
生鮮食品を除く総合,原数値,2007-04-01,96.0
生鮮食品を除く総合,原数値,2007-05-01,96.2
生鮮食品を除く総合,原数値,2007-06-01,96.2
生鮮食品を除く総合,原数値,2007-07-01,96.1
生鮮食品を除く総合,原数値,2007-08-01,96.3
生鮮食品を除く総合,原数値,2007-09-01,96.4
生鮮食品を除く総合,原数値,2007-10-01,96.6
生鮮食品を除く総合,原数値,2007-11-01,96.7
生鮮食品を除く総合,原数値,2007-12-01,97.0
生鮮食品を除く総合,原数値,2008-01-01,96.6
生鮮食品を除く総合,原数値,2008-02-01,96.5
生鮮食品を除く総合,原数値,2008-03-01,96.9
生鮮食品を除く総合,原数値,2008-04-01,96.9
生鮮食品を除く総合,原数値,2008-05-01,97.6
生鮮食品を除く総合,原数値,2008-06-01,98.0
生鮮食品を除く総合,原数値,2008-07-01,98.4
生鮮食品を除く総合,原数値,2008-08-01,98.6
生鮮食品を除く総合,原数値,2008-09-01,98.6
生鮮食品を除く総合,原数値,2008-10-01,98.4
生鮮食品を除く総合,原数値,2008-11-01,97.6
生鮮食品を除く総合,原数値,2008-12-01,97.2
生鮮食品を除く総合,原数値,2009-01-01,96.6
生鮮食品を除く総合,原数値,2009-02-01,96.5
生鮮食品を除く総合,原数値,2009-03-01,96.8
生鮮食品を除く総合,原数値,2009-04-01,96.8
生鮮食品を除く総合,原数値,2009-05-01,96.6
生鮮食品を除く総合,原数値,2009-06-01,96.4
生鮮食品を除く総合,原数値,2009-07-01,96.2
生鮮食品を除く総合,原数値,2009-08-01,96.2
生鮮食品を除く総合,原数値,2009-09-01,96.3
生鮮食品を除く総合,原数値,2009-10-01,96.2
生鮮食品を除く総合,原数値,2009-11-01,96.0
生鮮食品を除く総合,原数値,2009-12-01,95.9
生鮮食品を除く総合,原数値,2010-01-01,95.6
生鮮食品を除く総合,原数値,2010-02-01,95.6
生鮮食品を除く総合,原数値,2010-03-01,95.8
生鮮食品を除く総合,原数値,2010-04-01,95.7
生鮮食品を除く総合,原数値,2010-05-01,95.7
生鮮食品を除く総合,原数値,2010-06-01,95.5
生鮮食品を除く総合,原数値,2010-07-01,95.1
生鮮食品を除く総合,原数値,2010-08-01,95.1
生鮮食品を除く総合,原数値,2010-09-01,95.1
生鮮食品を除く総合,原数値,2010-10-01,95.4
生鮮食品を除く総合,原数値,2010-11-01,95.2
生鮮食品を除く総合,原数値,2010-12-01,95.1
生鮮食品を除く総合,原数値,2011-01-01,94.8
生鮮食品を除く総合,原数値,2011-02-01,94.8
生鮮食品を除く総合,原数値,2011-03-01,95.2
生鮮食品を除く総合,原数値,2011-04-01,95.4
生鮮食品を除く総合,原数値,2011-05-01,95.5
生鮮食品を除く総合,原数値,2011-06-01,95.3
生鮮食品を除く総合,原数値,2011-07-01,95.2
生鮮食品を除く総合,原数値,2011-08-01,95.3
生鮮食品を除く総合,原数値,2011-09-01,95.3
生鮮食品を除く総合,原数値,2011-10-01,95.3
生鮮食品を除く総合,原数値,2011-11-01,95.0
生鮮食品を除く総合,原数値,2011-12-01,95.0
生鮮食品を除く総合,原数値,2012-01-01,94.8
生鮮食品を除く総合,原数値,2012-02-01,94.9
生鮮食品を除く総合,原数値,2012-03-01,95.4
生鮮食品を除く総合,原数値,2012-04-01,95.6
生鮮食品を除く総合,原数値,2012-05-01,95.4
生鮮食品を除く総合,原数値,2012-06-01,95.1
生鮮食品を除く総合,原数値,2012-07-01,94.9
生鮮食品を除く総合,原数値,2012-08-01,95.1
生鮮食品を除く総合,原数値,2012-09-01,95.3
生鮮食品を除く総合,原数値,2012-10-01,95.3
生鮮食品を除く総合,原数値,2012-11-01,95.0
生鮮食品を除く総合,原数値,2012-12-01,94.8
生鮮食品を除く総合,原数値,2013-01-01,94.5
