年月,CPI前年同月比,完全失業率
2009-09-01,-2.249488752556239,5.4
2009-10-01,-2.5588536335721557,5.2
2009-11-01,-1.8595041322314043,5.2
2009-12-01,-1.6597510373444035,5.2
2010-01-01,-1.0427528675703845,5.0
2010-02-01,-0.7322175732217495,5.0
2010-03-01,-0.8342022940563187,5.1
2010-04-01,-0.9375000000000022,5.1
2010-05-01,-0.7306889352818424,5.1
2010-06-01,-0.7322175732217495,5.2
2010-07-01,-0.9443861490031402,5.0
2010-08-01,-1.1506276150627603,5.1
2010-09-01,-0.9414225941422494,5.1
2010-10-01,-0.21008403361344463,5.1
2010-11-01,-0.3157894736842026,5.0
2010-12-01,-0.31645569620253333,4.9
2011-01-01,-0.5268703898840932,4.8
2011-02-01,-0.5268703898840932,4.7
2011-03-01,-0.525762355415349,4.7
2011-04-01,-0.4206098843322681,4.7
2011-05-01,-0.4206098843322681,4.6
2011-06-01,-0.31612223393046035,4.7
2011-07-01,0.21186440677964935,4.7
2011-08-01,0.2116402116402183,4.5
2011-09-01,0.0,4.2
2011-10-01,-0.21052631578947212,4.4
2011-11-01,-0.5279831045406524,4.5
2011-12-01,-0.2116402116402183,4.5
2012-01-01,0.10593220338981357,4.5
2012-02-01,0.3177966101694851,4.5
2012-03-01,0.5285412262156397,4.5
2012-04-01,0.5279831045406524,4.5
2012-05-01,0.21119324181626542,4.4
2012-06-01,-0.21141649048624922,4.3
2012-07-01,-0.5285412262156397,4.3
2012-08-01,-0.42238648363253084,4.2
2012-09-01,-0.31678986272438703,4.2
2012-10-01,-0.42194092827003704,4.1
2012-11-01,-0.10615711252655036,4.1
2012-12-01,-0.21208907741251393,4.3
2013-01-01,-0.31746031746031633,4.2
2013-02-01,-0.7391763463569179,4.3
2013-03-01,-0.9463722397476282,4.1
2013-04-01,-0.7352941176470673,4.1
2013-05-01,-0.31612223393046035,4.1
2013-06-01,0.21186440677964935,3.9
2013-07-01,0.7438894792773709,3.8
2013-08-01,0.8483563096500557,4.1
2013-09-01,1.0593220338983134,3.9
2013-10-01,1.165254237288127,4.0
2013-11-01,1.4877789585547418,3.9
2013-12-01,1.5940488841657885,3.7
2014-01-01,1.3800424628449992,3.7
2014-02-01,1.5957446808510634,3.6
2014-03-01,1.5923566878981,3.7
2014-04-01,3.3862433862433816,3.6
2014-05-01,3.6997885835095223,3.6
2014-06-01,3.594080338266381,3.7
2014-07-01,3.4810126582278444,3.7
2014-08-01,3.3648790746582558,3.5
2014-09-01,3.2494758909853205,3.5
2014-10-01,2.8272251308900653,3.6
2014-11-01,2.5130890052356136,3.4
2014-12-01,2.405857740585793,3.4
2015-01-01,2.408376963350789,3.6
2015-02-01,2.1989528795811397,3.5
2015-03-01,2.298850574712641,3.4
2015-04-01,0.7164790174002178,3.4
2015-05-01,0.6116207951070374,3.3
2015-06-01,0.40816326530612734,3.4
2015-07-01,0.20387359836901986,3.3
2015-08-01,0.10172939979655737,3.4
2015-09-01,0.0,3.4
2015-10-01,0.3054989816700493,3.2
2015-11-01,0.20429009193052572,3.3
2015-12-01,0.20429009193052572,3.3
2016-01-01,-0.10224948875254825,3.2
2016-02-01,0.2049180327868827,3.3
2016-03-01,0.0,3.2
